avg_surgery_cost,avg_surgery_time,avg_compl_time,rate_in,rate_out,stability
[5.01618705 5.13956466 5.19783198],[ 3.38876703  9.108325   18.25560474],[1789.98309533 1826.51930524 1679.63899028],0.3472666994686356,0.24858856739590685,False
[5.01958384 5.04868914 5.40306122],[ 3.39456515  9.2823221  17.17108139],[1705.46551474 1638.3915744  1537.67258318],0.33070770236972846,0.2472883135059482,False
[5.08902077 5.1618799  5.42159383],[ 3.53432964  9.60253015 17.07345118],[1840.3686392  1750.5166991  1722.65443469],0.3454019083406848,0.24704244954766874,False
[4.98382924 5.09236453 5.43467337],[ 3.47100073 10.06283263 15.48509388],[1632.37040015 1706.49491521 1663.67557078],0.3276775508982921,0.2438075017692852,False
[5.1378665  5.17826618 5.42716049],[ 3.59190757 10.40892442 16.99380409],[1987.29123385 1945.6220589  1896.94557391],0.34746264959532314,0.238444669365722,False
[5.02734375 5.05372405 5.47654321],[ 3.43272856 10.31395034 16.27429747],[1845.2766803  1940.41682012 1741.34545427],0.32770519931052533,0.24075366364270762,False
[5.12444444 5.18237454 5.46236559],[ 3.4026325  10.52337187 16.30991726],[1925.20309505 2000.78601373 1629.57058516],0.32325777828378255,0.2429676511954993,False
[5.16696589 5.10855683 5.41666667],[ 3.54114104  9.62741741 16.84548626],[1657.46041892 1575.81443495 1723.48635486],0.3403938181795424,0.2448875255623722,False
[4.98542459 5.05463787 5.36090226],[ 3.45166603 10.00032625 16.01967637],[1680.36697903 1562.09471092 1763.64575109],0.3372135392398007,0.24382498235709246,False
[5.08726568 5.1680877  5.54945055],[ 3.57341637 10.31654051 16.48716124],[1758.9008079  1740.78109118 1518.92307934],0.33023716587270396,0.24237047551454932,False
